"b" , "c" , "year" , "r" , "b_err"
"29" , 1035.83014046829 , 16.4166420197911 , 29 , 0.2 , 44.5557830841824
"30" , 1397.06125747363 , 1097.28195173168 , 30 , 0.2 , 2978.09116898603
"31" , 754.390085201296 , 375.433598963648 , 31 , 0.2 , 1018.95003727145
"32" , 683.447428010265 , 297.599633491159 , 32 , 0.2 , 807.70383491209
"33" , 669.676215644268 , 453.797165901884 , 33 , 0.2 , 1231.63361080577
"34" , 495.579292977516 , 166.454913504798 , 34 , 0.2 , 451.768943397506
"35" , 552.974802856225 , 157.900954104757 , 35 , 0.2 , 428.55296786002
"36" , 638.1309297652 , 368.829630833444 , 36 , 0.2 , 1001.02645879849
"37" , 539.394998069712 , 31.2323401766888 , 37 , 0.2 , 84.766505381936
"38" , 746.750407028718 , 526.023434003944 , 38 , 0.2 , 1427.66017523081
"39" , 523.040017581719 , 177.025824640876 , 39 , 0.2 , 480.45905085148
"40" , 579.158425178256 , 276.727035024516 , 40 , 0.2 , 751.054310084672
"41" , 553.980038245935 , 370.344891781971 , 41 , 0.2 , 1005.13897084919
"42" , 427.021272487437 , 159.263921575169 , 42 , 0.2 , 432.252145979958
"43" , 467.51003606695 , 119.854554214663 , 43 , 0.2 , 325.292682437857
"44" , 561.799056498154 , 243.011833394206 , 44 , 0.2 , 659.549164960075
"45" , 564.724406403519 , 97.8253745024071 , 45 , 0.2 , 265.5041244856
"46" , 713.786865510394 , 108.365520225221 , 46 , 0.2 , 294.110732702751
"47" , 898.208049119365 , 249.895384652035 , 47 , 0.2 , 678.231549355309
"48" , 991.828165960952 , 257.946327508358 , 48 , 0.2 , 700.082306842559
"49" , 1100.93488716594 , 120.356940150501 , 49 , 0.2 , 326.656188979252
"50" , 1373.38125699762 , 571.745622007423 , 50 , 0.2 , 1551.75302493547
"51" , 1251.70306495658 , 897.911635074016 , 51 , 0.2 , 2436.98778306127
"52" , 779.453542360379 , 240.639345656773 , 52 , 0.2 , 653.110086318321
"53" , 850.372870653606 , 752.444380015615 , 53 , 0.2 , 2042.18064440163
"54" , 428.866281929329 , 120.736797835015 , 54 , 0.2 , 327.687146258682
"55" , 508.548332543862 , 154.571942159947 , 55 , 0.2 , 419.517823284241
"56" , 582.24048103472 , 176.617648204949 , 56 , 0.2 , 479.351234727006
"57" , 658.160330864325 , 438.423204111578 , 57 , 0.2 , 1189.90772643504
"58" , 495.954907745247 , 137.586632287688 , 58 , 0.2 , 373.418640432251
"59" , 582.347152893321 , 200.837288934273 , 59 , 0.2 , 545.084839529477
"60" , 634.081546949396 , 201.505400119252 , 60 , 0.2 , 546.898134660002
"61" , 701.421223151804 , 232.463630602695 , 61 , 0.2 , 630.920689359527
"62" , 758.115508555331 , 274.829792367089 , 62 , 0.2 , 745.90507602082
"63" , 788.834668659615 , 163.499487900982 , 63 , 0.2 , 443.747735286473
"64" , 939.509245888097 , 42.6389700700865 , 64 , 0.2 , 115.724805297295
"65" , 1250.94103422173 , 535.652871042372 , 65 , 0.2 , 1453.79506368057
"66" , 1140.79167583212 , 98.6434571636773 , 66 , 0.2 , 267.724451490145
"67" , 1443.9344938102 , 883.904962000161 , 67 , 0.2 , 2398.97280493985
"68" , 1023.44282227453 , 536.333042820778 , 68 , 0.2 , 1455.64109200854
"69" , 861.804199277537 , 690.394967206196 , 69 , 0.2 , 1873.77469546856
"70" , 505.387980769229 , 66.0948639002796 , 70 , 0.2 , 179.385553718548
"71" , 666.485731917235 , 354.882973889348 , 71 , 0.2 , 963.174368169874
"72" , 590.340970822005 , 184.307811738311 , 72 , 0.2 , 500.222814789561
"73" , 661.159078773347 , 415.303981165944 , 73 , 0.2 , 1127.16072364369
"74" , 522.98240188631 , 187.818771918377 , 74 , 0.2 , 509.751778143433
"75" , 568.28856639992 , 367.651566368155 , 75 , 0.2 , 997.829118885045
"76" , 448.680312563303 , 205.403927080805 , 76 , 0.2 , 557.478978259892
"77" , 450.786068812386 , 240.141168525076 , 77 , 0.2 , 651.758002732004
"78" , 418.90146248824 , 107.840922628484 , 78 , 0.2 , 292.686942338162
"79" , 507.869318700987 , 216.329102719518 , 79 , 0.2 , 587.130581512752
"80" , 519.574315502499 , 227.166214156858 , 80 , 0.2 , 616.543173069486
"81" , 524.390146712887 , 115.370246515401 , 81 , 0.2 , 313.121993639858
"82" , 642.616056395087 , 279.457213674635 , 82 , 0.2 , 758.464184014378
"83" , 634.631375026841 , 237.745803768526 , 83 , 0.2 , 645.256834443651
"84" , 665.900395820489 , 463.205261867024 , 84 , 0.2 , 1257.16776587552
"85" , 481.256618375216 , 236.60354777245 , 85 , 0.2 , 642.156680933182
"86" , 463.577213099169 , 166.381102250089 , 86 , 0.2 , 451.568615081273
"87" , 509.962372108787 , 146.106493178155 , 87 , 0.2 , 396.542070503118
"88" , 592.598539058256 , -90.1141328179673 , 88 , 0.2 , -244.575337015702
"89" , 938.557266185523 , 202.063584925395 , 89 , 0.2 , 548.413082790894
"90" , 1090.3242388889 , 591.278881770769 , 90 , 0.2 , 1604.76750158017
"91" , 889.419946601386 , 543.623158996741 , 91 , 0.2 , 1475.42691876916
"92" , 687.030358142461 , 157.060260285228 , 92 , 0.2 , 426.271272771707
"93" , 814.86616002336 , 415.483804928195 , 93 , 0.2 , 1127.64877647048
"94" , 720.729899236224 , -8.10978893206453 , 94 , 0.2 , -22.0104693810073
"95" , 1023.65055537415 , 341.702049968785 , 95 , 0.2 , 927.400524387102
"96" , 1056.69263963087 , 559.637242953133 , 96 , 0.2 , 1518.89013433984
"97" , 879.626163203543 , 864.11462267402 , 97 , 0.2 , 2345.26059844141
"98" , 354.186905464973 , 109.584055586763 , 98 , 0.2 , 297.417913134888
"99" , 417.205160572167 , 142.204435327354 , 99 , 0.2 , 385.951643851147
"100" , 471.19197670112 , 248.23977905385 , 100 , 0.2 , 673.738133234231
