"b" , "c" , "year" , "r" , "r_s" , "f"
"33" , 47287.5979475071 , 25316.1620176415 , 33 , 0.756883793495737 , -0.00596524264779873 , 0.532283452479169
"34" , 47011.138554538 , 25170.4058949459 , 34 , 0.751303609081792 , -0.00596524264779873 , 0.532283452479169
"35" , 46732.0195057354 , 25023.2511347861 , 35 , 0.745723424667847 , -0.00596524264779873 , 0.532283452479169
"36" , 46450.2084472191 , 24874.6806838367 , 36 , 0.740143240253902 , -0.00596524264779873 , 0.532283452479169
"37" , 46165.6727159448 , 24724.6773206629 , 37 , 0.734563055839957 , -0.00596524264779873 , 0.532283452479169
"38" , 45878.3793472642 , 24573.2236592665 , 38 , 0.728982871426011 , -0.00596524264779873 , 0.532283452479169
"39" , 45588.2950834505 , 24420.3021531108 , 39 , 0.723402687012066 , -0.00596524264779873 , 0.532283452479169
"40" , 45295.3863832607 , 24265.8950996582 , 40 , 0.717822502598121 , -0.00596524264779873 , 0.532283452479169
"41" , 44999.6194326104 , 24109.9846454599 , 41 , 0.712242318184176 , -0.00596524264779873 , 0.532283452479169
"42" , 44700.960156444 , 23952.5527918385 , 42 , 0.706662133770231 , -0.00596524264779873 , 0.532283452479169
"43" , 44399.3742318874 , 23793.5814012058 , 43 , 0.701081949356285 , -0.00596524264779873 , 0.532283452479169
"44" , 44094.8271027762 , 23633.0522040636 , 44 , 0.69550176494234 , -0.00596524264779873 , 0.532283452479169
"45" , 43787.2839956601 , 23470.9468067377 , 45 , 0.689921580528395 , -0.00596524264779873 , 0.532283452479169
"46" , 43476.7099373888 , 23307.2466998958 , 46 , 0.68434139611445 , -0.00596524264779873 , 0.532283452479169
"47" , 43163.0697743944 , 23141.9332679087 , 47 , 0.678761211700505 , -0.00596524264779873 , 0.532283452479169
"48" , 42846.3281937913 , 22974.9877991139 , 48 , 0.673181027286559 , -0.00596524264779873 , 0.532283452479169
"49" , 42526.4497464231 , 22806.3914970468 , 49 , 0.667600842872614 , -0.00596524264779873 , 0.532283452479169
"50" , 42203.3988719953 , 22636.1254927079 , 50 , 0.662020658458669 , -0.00596524264779873 , 0.532283452479169
"51" , 41877.1399264421 , 22464.1708579411 , 51 , 0.656440474044724 , -0.00596524264779873 , 0.532283452479169
