"b","c","year","f","f_ratio","f_ratio_err","id","r_0","error","hcr","b_0"
9794.94546048687,0,34,0,0,0,35,0.4,0.3,0.75,4000
9875.95256995983,0,35,0,0,0,35,0.4,0.3,0.75,4000
9925.20100711108,0,36,0,0,0,35,0.4,0.3,0.75,4000
9954.9860581823,0,37,0,0,0,35,0.4,0.3,0.75,4000
9972.94294629762,0,38,0,0,0,35,0.4,0.3,0.75,4000
9983.74818506625,0,39,0,0,0,35,0.4,0.3,0.75,4000
9990.24256937484,0,40,0,0,0,35,0.4,0.3,0.75,4000
9994.14325605124,0,41,0,0,0,35,0.4,0.3,0.75,4000
9996.48513026734,0,42,0,0,0,35,0.4,0.3,0.75,4000
9997.89078162919,0,43,0,0,0,35,0.4,0.3,0.75,4000
9998.73436220026,0,44,0,0,0,35,0.4,0.3,0.75,4000
9999.24057887472,0,45,0,0,0,35,0.4,0.3,0.75,4000
9999.54433348326,0,46,0,0,0,35,0.4,0.3,0.75,4000
9999.72659510673,0,47,0,0,0,35,0.4,0.3,0.75,4000
9999.83595527002,0,48,0,0,0,35,0.4,0.3,0.75,4000
9999.90157251615,0,49,0,0,0,35,0.4,0.3,0.75,4000
9999.94094327718,0,50,0,0,0,35,0.4,0.3,0.75,4000
9999.9645658826,0,51,0,0,0,35,0.4,0.3,0.75,4000
9999.97873949943,0,52,0,0,0,35,0.4,0.3,0.75,4000
9999.98724368881,0,53,0,0,0,35,0.4,0.3,0.75,4000
9999.99234620938,0,54,0,0,0,35,0.4,0.3,0.75,4000
9999.99540772422,0,55,0,0,0,35,0.4,0.3,0.75,4000
9999.99724463403,0,56,0,0,0,35,0.4,0.3,0.75,4000
9999.99834678024,0,57,0,0,0,35,0.4,0.3,0.75,4000
9999.99900806807,0,58,0,0,0,35,0.4,0.3,0.75,4000
9999.99940484082,0,59,0,0,0,35,0.4,0.3,0.75,4000
9999.99964290448,0,60,0,0,0,35,0.4,0.3,0.75,4000
9999.99978574269,0,61,0,0,0,35,0.4,0.3,0.75,4000
9999.99987144561,0,62,0,0,0,35,0.4,0.3,0.75,4000
9999.99992286737,0,63,0,0,0,35,0.4,0.3,0.75,4000
9999.99995372042,0,64,0,0,0,35,0.4,0.3,0.75,4000
9999.99997223225,0,65,0,0,0,35,0.4,0.3,0.75,4000
9999.99998333935,0,66,0,0,0,35,0.4,0.3,0.75,4000
9999.99999000361,0,67,0,0,0,35,0.4,0.3,0.75,4000
9999.99999400217,0,68,0,0,0,35,0.4,0.3,0.75,4000
9999.9999964013,0,69,0,0,0,35,0.4,0.3,0.75,4000
9999.99999784078,0,70,0,0,0,35,0.4,0.3,0.75,4000
9999.99999870447,0,71,0,0,0,35,0.4,0.3,0.75,4000
9999.99999922268,0,72,0,0,0,35,0.4,0.3,0.75,4000
9999.99999953361,0,73,0,0,0,35,0.4,0.3,0.75,4000
9999.99999972016,0,74,0,0,0,35,0.4,0.3,0.75,4000
9999.9999998321,0,75,0,0,0,35,0.4,0.3,0.75,4000
9999.99999989926,0,76,0,0,0,35,0.4,0.3,0.75,4000
9999.99999993955,0,77,0,0,0,35,0.4,0.3,0.75,4000
9999.99999996373,0,78,0,0,0,35,0.4,0.3,0.75,4000
9999.99999997824,0,79,0,0,0,35,0.4,0.3,0.75,4000
9999.99999998694,0,80,0,0,0,35,0.4,0.3,0.75,4000
9999.99999999217,0,81,0,0,0,35,0.4,0.3,0.75,4000
9999.9999999953,0,82,0,0,0,35,0.4,0.3,0.75,4000
9999.99999999718,0,83,0,0,0,35,0.4,0.3,0.75,4000
9999.99999999831,0,84,0,0,0,35,0.4,0.3,0.75,4000
9999.99999999898,0,85,0,0,0,35,0.4,0.3,0.75,4000
9999.99999999939,0,86,0,0,0,35,0.4,0.3,0.75,4000
9999.99999999963,0,87,0,0,0,35,0.4,0.3,0.75,4000
9999.99999999978,0,88,0,0,0,35,0.4,0.3,0.75,4000
9999.99999999987,0,89,0,0,0,35,0.4,0.3,0.75,4000
9999.99999999992,0,90,0,0,0,35,0.4,0.3,0.75,4000
9999.99999999995,0,91,0,0,0,35,0.4,0.3,0.75,4000
9999.99999999997,0,92,0,0,0,35,0.4,0.3,0.75,4000
9999.99999999998,0,93,0,0,0,35,0.4,0.3,0.75,4000
9999.99999999999,0,94,0,0,0,35,0.4,0.3,0.75,4000
9999.99999999999,0,95,0,0,0,35,0.4,0.3,0.75,4000
10000,0,96,0,0,0,35,0.4,0.3,0.75,4000
10000,0,97,0,0,0,35,0.4,0.3,0.75,4000
10000,0,98,0,0,0,35,0.4,0.3,0.75,4000
10000,0,99,0,0,0,35,0.4,0.3,0.75,4000
10000,0,100,0,0,0,35,0.4,0.3,0.75,4000
6000,1223.70631176233,1,0.203951051960388,0.582717291315395,0.643569096867019,36,0.4,0.3,0.75,6000
5941.72827086846,1211.8217313064,2,0.203951051960388,0.611853155881164,0.643569096867019,36,0.4,0.3,0.75,6000
5904.94448455245,1204.31963939216,3,0.203951051960388,0.611853155881164,0.643569096867019,36,0.4,0.3,0.75,6000
5881.59772755951,1199.55804374359,4,0.203951051960388,0.611853155881164,0.643569096867019,36,0.4,0.3,0.75,6000
5866.72816379114,1256.35164959938,5,0.214148604558408,0.611853155881164,0.439758930063108,36,0.4,0.3,0.75,6000
5797.41061582369,1241.50739343074,6,0.214148604558408,0.642445813675223,0.439758930063108,36,0.4,0.3,0.75,6000
5753.65681356664,1232.13757773327,7,0.214148604558408,0.642445813675223,0.439758930063108,36,0.4,0.3,0.75,6000
5725.85561926552,1226.18399076863,8,0.214148604558408,0.642445813675223,0.439758930063108,36,0.4,0.3,0.75,6000
5708.11648194617,1222.38517926562,9,0.214148604558408,0.642445813675223,0.439758930063108,36,0.4,0.3,0.75,6000
5696.76737825508,1280.95252377454,10,0.224856034786328,0.642445813675223,0.76745259174532,36,0.4,0.3,0.75,6000
5628.4963319303,1265.60136700724,11,0.224856034786328,0.674568104358984,0.76745259174532,36,0.4,0.3,0.75,6000
5585.26925405304,1255.88149768036,12,0.224856034786328,0.674568104358984,0.76745259174532,36,0.4,0.3,0.75,6000
5557.71624568237,1249.6860374717,13,0.224856034786328,0.674568104358984,0.76745259174532,36,0.4,0.3,0.75,6000
5540.07938383071,1245.72028264966,14,0.224856034786328,0.674568104358984,0.76745259174532,36,0.4,0.3,0.75,6000
5528.75932459217,1305.33364396652,15,0.236098836525644,0.674568104358984,0.618852247998393,36,0.4,0.3,0.75,6000
5459.32228822389,1288.93964046818,16,0.236098836525644,0.708296509576933,0.618852247998393,36,0.4,0.3,0.75,6000
5415.24122638118,1278.5321530543,17,0.236098836525644,0.708296509576933,0.618852247998393,36,0.4,0.3,0.75,6000
5387.0623609426,1271.87915570964,18,0.236098836525644,0.708296509576933,0.618852247998393,36,0.4,0.3,0.75,6000
5368.96922857583,1267.60738820874,19,0.236098836525644,0.708296509576933,0.618852247998393,36,0.4,0.3,0.75,6000
5357.31901863424,1328.09962655606,20,0.247903778351927,0.708296509576933,0.865958602264368,36,0.4,0.3,0.75,6000
5286.56090842293,1310.55842368564,21,0.247903778351927,0.74371133505578,0.865958602264368,36,0.4,0.3,0.75,6000
5241.52059359877,1299.39275946257,22,0.247903778351927,0.74371133505578,0.865958602264368,36,0.4,0.3,0.75,6000
5212.64249417183,1292.23376950301,23,0.247903778351927,0.74371133505578,0.865958602264368,36,0.4,0.3,0.75,6000
5194.04115441987,1287.62242709609,24,0.247903778351927,0.74371133505578,0.865958602264368,36,0.4,0.3,0.75,6000
5182.02373881625,1348.87542758002,25,0.260298967269523,0.74371133505578,0.655206042333955,36,0.4,0.3,0.75,6000
